student_id,school_type,school_major_detail,initial_choice_program,recommended_top1_program,recommended_top1_program_id,recommended_top1_score,recommended_top3_programs,recommended_top5_programs,alignment_status,advisory_message,generator_version
STU-003328,SMA,IPS/Soshum,Pendidikan Guru Sekolah Dasar,Teknik Informatika,PRG2-001,0.815,Teknik Informatika|Ekonomi Pembangunan|Sains Data,Teknik Informatika|Ekonomi Pembangunan|Sains Data|Kimia|Pendidikan Dokter,tidak_selaras,"Pilihan awal kurang selaras dengan profil sementara. Sistem sebaiknya memberi bridge plan, bukan menolak pilihan siswa secara mutlak.",stage10-v2.0
STU-003329,SMK,Pemasaran - Bisnis Digital,Ilmu Komunikasi,Ilmu Komunikasi,PRG2-021,0.961,Ilmu Komunikasi|Bisnis Digital|Pendidikan Bahasa Inggris,Ilmu Komunikasi|Bisnis Digital|Pendidikan Bahasa Inggris|Desain Komunikasi Visual|Pariwisata,selaras,Pilihan awal siswa sangat selaras dengan hasil pemetaan sistem. Tetap perlu validasi dengan guru BK atau konselor.,stage10-v2.0
STU-003330,SMA,IPS/Soshum,Desain Komunikasi Visual,Desain Komunikasi Visual,PRG2-029,0.975,Desain Komunikasi Visual|Desain Produk|Arsitektur,Desain Komunikasi Visual|Desain Produk|Arsitektur|Ilmu Komunikasi|Film dan Televisi,selaras,Pilihan awal siswa sangat selaras dengan hasil pemetaan sistem. Tetap perlu validasi dengan guru BK atau konselor.,stage10-v2.0
STU-003331,SMA,Seni/Kreatif,Matematika,Matematika,PRG2-011,0.719,Matematika|Desain Komunikasi Visual|Film dan Televisi,Matematika|Desain Komunikasi Visual|Film dan Televisi|Ilmu Komunikasi|Desain Produk,selaras,Pilihan awal siswa sangat selaras dengan hasil pemetaan sistem. Tetap perlu validasi dengan guru BK atau konselor.,stage10-v2.0
STU-003332,SMK,Desain Komunikasi Visual,Bisnis Digital,Bisnis Digital,PRG2-005,0.938,Bisnis Digital|Manajemen|Desain Komunikasi Visual,Bisnis Digital|Manajemen|Desain Komunikasi Visual|Pariwisata|Sistem Informasi,selaras,Pilihan awal siswa sangat selaras dengan hasil pemetaan sistem. Tetap perlu validasi dengan guru BK atau konselor.,stage10-v2.0
STU-003333,MA,MIPA/IPA,Statistika,Statistika,PRG2-012,0.85,Statistika|Sains Data|Pendidikan Dokter,Statistika|Sains Data|Pendidikan Dokter|Kimia|Matematika,selaras,Pilihan awal siswa sangat selaras dengan hasil pemetaan sistem. Tetap perlu validasi dengan guru BK atau konselor.,stage10-v2.0
STU-003334,SMA,Seni/Kreatif,Belum yakin,Kesehatan Masyarakat,PRG2-018,0.881,Kesehatan Masyarakat|Keperawatan|Pendidikan Guru Sekolah Dasar,Kesehatan Masyarakat|Keperawatan|Pendidikan Guru Sekolah Dasar|Psikologi|Ilmu Gizi,belum_yakin,Siswa belum memiliki pilihan awal sehingga sistem perlu memberikan guided profiling dan eksplorasi bertahap.,stage10-v2.0
STU-003335,SMK,Pengembangan Gim,Teknik Elektro,Teknik Elektro,PRG2-006,0.799,Teknik Elektro|Teknik Sipil|Teknik Mesin,Teknik Elektro|Teknik Sipil|Teknik Mesin|Teknologi Informasi|Teknik Informatika,selaras,Pilihan awal siswa sangat selaras dengan hasil pemetaan sistem. Tetap perlu validasi dengan guru BK atau konselor.,stage10-v2.0
STU-003336,SMK,Akuntansi dan Keuangan Lembaga,Bisnis Digital,Bisnis Digital,PRG2-005,0.905,Bisnis Digital|Manajemen|Pariwisata,Bisnis Digital|Manajemen|Pariwisata|Sistem Informasi|Teknik Industri,selaras,Pilihan awal siswa sangat selaras dengan hasil pemetaan sistem. Tetap perlu validasi dengan guru BK atau konselor.,stage10-v2.0
STU-003337,SMK,Pemasaran - Bisnis Digital,Desain Produk,Bisnis Digital,PRG2-005,0.885,Bisnis Digital|Manajemen|Ilmu Komunikasi,Bisnis Digital|Manajemen|Ilmu Komunikasi|Pariwisata|Agribisnis,tidak_selaras,"Pilihan awal kurang selaras dengan profil sementara. Sistem sebaiknya memberi bridge plan, bukan menolak pilihan siswa secara mutlak.",stage10-v2.0
STU-003338,SMA,MIPA/IPA,Administrasi Publik,Keperawatan,PRG2-017,0.843,Keperawatan|Kesehatan Masyarakat|Psikologi,Keperawatan|Kesehatan Masyarakat|Psikologi|Administrasi Publik|Manajemen,sebagian_selaras,"Pilihan awal masih cukup relevan, tetapi siswa perlu membandingkan beberapa alternatif program studi.",stage10-v2.0
STU-003339,SMK,Pengembangan Gim,Pendidikan Guru Sekolah Dasar,Teknologi Pangan,PRG2-034,0.94,Teknologi Pangan|Ilmu Gizi|Agroteknologi,Teknologi Pangan|Ilmu Gizi|Agroteknologi|Biologi|Agribisnis,tidak_selaras,"Pilihan awal kurang selaras dengan profil sementara. Sistem sebaiknya memberi bridge plan, bukan menolak pilihan siswa secara mutlak.",stage10-v2.0
STU-003340,SMA,Bahasa dan Budaya,Manajemen,Desain Komunikasi Visual,PRG2-029,0.82,Desain Komunikasi Visual|Ilmu Komunikasi|Arsitektur,Desain Komunikasi Visual|Ilmu Komunikasi|Arsitektur|Film dan Televisi|Desain Produk,tidak_selaras,"Pilihan awal kurang selaras dengan profil sementara. Sistem sebaiknya memberi bridge plan, bukan menolak pilihan siswa secara mutlak.",stage10-v2.0
STU-003341,SMK,Teknik Jaringan Komputer dan Telekomunikasi - TKJ,Pendidikan Bahasa Inggris,Teknologi Informasi,PRG2-004,0.926,Teknologi Informasi|Teknik Mesin|Teknik Informatika,Teknologi Informasi|Teknik Mesin|Teknik Informatika|Teknik Elektro|Teknik Sipil,tidak_selaras,"Pilihan awal kurang selaras dengan profil sementara. Sistem sebaiknya memberi bridge plan, bukan menolak pilihan siswa secara mutlak.",stage10-v2.0
STU-003342,SMK,Pemasaran - Bisnis Digital,Belum yakin,Pariwisata,PRG2-035,0.711,Pariwisata|Ilmu Komunikasi|Bisnis Digital,Pariwisata|Ilmu Komunikasi|Bisnis Digital|Manajemen|Agribisnis,belum_yakin,Siswa belum memiliki pilihan awal sehingga sistem perlu memberikan guided profiling dan eksplorasi bertahap.,stage10-v2.0
STU-003343,MA,MIPA/IPA,Agroteknologi,Agroteknologi,PRG2-033,0.844,Agroteknologi|Teknologi Pangan|Agribisnis,Agroteknologi|Teknologi Pangan|Agribisnis|Biologi|Pendidikan Dokter,selaras,Pilihan awal siswa sangat selaras dengan hasil pemetaan sistem. Tetap perlu validasi dengan guru BK atau konselor.,stage10-v2.0
STU-003344,SMK,Pengembangan Gim,Pendidikan Guru Sekolah Dasar,Pendidikan Guru Sekolah Dasar,PRG2-024,0.911,Pendidikan Guru Sekolah Dasar|Keperawatan|Pendidikan Bahasa Inggris,Pendidikan Guru Sekolah Dasar|Keperawatan|Pendidikan Bahasa Inggris|Kesehatan Masyarakat|Pariwisata,selaras,Pilihan awal siswa sangat selaras dengan hasil pemetaan sistem. Tetap perlu validasi dengan guru BK atau konselor.,stage10-v2.0
STU-003345,MA,IPS/Soshum,Manajemen,Manajemen,PRG2-026,0.775,Manajemen|Agribisnis|Ilmu Hukum,Manajemen|Agribisnis|Ilmu Hukum|Teknik Industri|Administrasi Publik,selaras,Pilihan awal siswa sangat selaras dengan hasil pemetaan sistem. Tetap perlu validasi dengan guru BK atau konselor.,stage10-v2.0
STU-003346,SMA,Seni/Kreatif,Agroteknologi,Agroteknologi,PRG2-033,0.788,Agroteknologi|Biologi|Desain Produk,Agroteknologi|Biologi|Desain Produk|Agribisnis|Teknologi Pangan,selaras,Pilihan awal siswa sangat selaras dengan hasil pemetaan sistem. Tetap perlu validasi dengan guru BK atau konselor.,stage10-v2.0
STU-003347,SMA,Seni/Kreatif,Psikologi,Psikologi,PRG2-020,0.913,Psikologi|Kesehatan Masyarakat|Keperawatan,Psikologi|Kesehatan Masyarakat|Keperawatan|Pendidikan Guru Sekolah Dasar|Administrasi Publik,selaras,Pilihan awal siswa sangat selaras dengan hasil pemetaan sistem. Tetap perlu validasi dengan guru BK atau konselor.,stage10-v2.0
STU-003348,SMK,Teknik Elektronika,Manajemen,Farmasi,PRG2-016,0.739,Farmasi|Sains Data|Kimia,Farmasi|Sains Data|Kimia|Biologi|Statistika,tidak_selaras,"Pilihan awal kurang selaras dengan profil sementara. Sistem sebaiknya memberi bridge plan, bukan menolak pilihan siswa secara mutlak.",stage10-v2.0
STU-003349,SMK,Desain Komunikasi Visual,Arsitektur,Arsitektur,PRG2-010,0.975,Arsitektur|Desain Komunikasi Visual|Desain Produk,Arsitektur|Desain Komunikasi Visual|Desain Produk|Film dan Televisi|Ilmu Komunikasi,selaras,Pilihan awal siswa sangat selaras dengan hasil pemetaan sistem. Tetap perlu validasi dengan guru BK atau konselor.,stage10-v2.0
STU-003350,SMK,Akuntansi dan Keuangan Lembaga,Kimia,Kimia,PRG2-014,0.881,Kimia|Statistika|Farmasi,Kimia|Statistika|Farmasi|Sains Data|Akuntansi,selaras,Pilihan awal siswa sangat selaras dengan hasil pemetaan sistem. Tetap perlu validasi dengan guru BK atau konselor.,stage10-v2.0
STU-003351,SMK,Teknik Elektronika,Pariwisata,Teknik Elektro,PRG2-006,0.809,Teknik Elektro|Teknik Informatika|Teknik Mesin,Teknik Elektro|Teknik Informatika|Teknik Mesin|Teknologi Informasi|Agroteknologi,tidak_selaras,"Pilihan awal kurang selaras dengan profil sementara. Sistem sebaiknya memberi bridge plan, bukan menolak pilihan siswa secara mutlak.",stage10-v2.0
STU-003352,MAK,MAK Teknologi/Bisnis/Kesehatan/Kreatif,Belum yakin,Farmasi,PRG2-016,0.868,Farmasi|Biologi|Kimia,Farmasi|Biologi|Kimia|Pendidikan Dokter|Kesehatan Masyarakat,belum_yakin,Siswa belum memiliki pilihan awal sehingga sistem perlu memberikan guided profiling dan eksplorasi bertahap.,stage10-v2.0
STU-003353,SMK,Akuntansi dan Keuangan Lembaga,Teknik Informatika,Teknik Informatika,PRG2-001,0.778,Teknik Informatika|Akuntansi|Statistika,Teknik Informatika|Akuntansi|Statistika|Sains Data|Teknik Industri,selaras,Pilihan awal siswa sangat selaras dengan hasil pemetaan sistem. Tetap perlu validasi dengan guru BK atau konselor.,stage10-v2.0
STU-003354,SMK,Pengembangan Gim,Pariwisata,Pariwisata,PRG2-035,0.744,Pariwisata|Agribisnis|Ilmu Komunikasi,Pariwisata|Agribisnis|Ilmu Komunikasi|Bisnis Digital|Manajemen,selaras,Pilihan awal siswa sangat selaras dengan hasil pemetaan sistem. Tetap perlu validasi dengan guru BK atau konselor.,stage10-v2.0
STU-003355,SMK,"Sistem Informasi, Jaringan, dan Aplikasi - SIJA",Desain Produk,Desain Produk,PRG2-030,0.944,Desain Produk|Desain Komunikasi Visual|Arsitektur,Desain Produk|Desain Komunikasi Visual|Arsitektur|Film dan Televisi|Teknologi Informasi,selaras,Pilihan awal siswa sangat selaras dengan hasil pemetaan sistem. Tetap perlu validasi dengan guru BK atau konselor.,stage10-v2.0
STU-003356,SMK,"Sistem Informasi, Jaringan, dan Aplikasi - SIJA",Agroteknologi,Agroteknologi,PRG2-033,0.913,Agroteknologi|Teknologi Informasi|Agribisnis,Agroteknologi|Teknologi Informasi|Agribisnis|Teknologi Pangan|Biologi,selaras,Pilihan awal siswa sangat selaras dengan hasil pemetaan sistem. Tetap perlu validasi dengan guru BK atau konselor.,stage10-v2.0
STU-003357,SMA,Pilihan Campuran Kurikulum Merdeka,Teknik Mesin,Teknik Mesin,PRG2-008,0.807,Teknik Mesin|Teknik Informatika|Teknik Elektro,Teknik Mesin|Teknik Informatika|Teknik Elektro|Sains Data|Teknologi Informasi,selaras,Pilihan awal siswa sangat selaras dengan hasil pemetaan sistem. Tetap perlu validasi dengan guru BK atau konselor.,stage10-v2.0
STU-003358,SMA,MIPA/IPA,Sistem Informasi,Agribisnis,PRG2-032,0.858,Agribisnis|Manajemen|Teknologi Informasi,Agribisnis|Manajemen|Teknologi Informasi|Sistem Informasi|Pariwisata,sebagian_selaras,"Pilihan awal masih cukup relevan, tetapi siswa perlu membandingkan beberapa alternatif program studi.",stage10-v2.0
STU-003359,SMA,MIPA/IPA,Teknik Elektro,Teknik Elektro,PRG2-006,0.969,Teknik Elektro|Teknik Mesin|Teknologi Informasi,Teknik Elektro|Teknik Mesin|Teknologi Informasi|Teknik Informatika|Teknik Sipil,selaras,Pilihan awal siswa sangat selaras dengan hasil pemetaan sistem. Tetap perlu validasi dengan guru BK atau konselor.,stage10-v2.0
STU-003360,SMK,"Sistem Informasi, Jaringan, dan Aplikasi - SIJA",Matematika,Teknologi Informasi,PRG2-004,0.795,Teknologi Informasi|Teknik Sipil|Teknik Informatika,Teknologi Informasi|Teknik Sipil|Teknik Informatika|Teknik Elektro|Teknik Mesin,tidak_selaras,"Pilihan awal kurang selaras dengan profil sementara. Sistem sebaiknya memberi bridge plan, bukan menolak pilihan siswa secara mutlak.",stage10-v2.0
STU-003361,SMK,Teknik Mesin,Belum yakin,Keperawatan,PRG2-017,0.688,Keperawatan|Teknik Mesin|Kesehatan Masyarakat,Keperawatan|Teknik Mesin|Kesehatan Masyarakat|Pendidikan Bahasa Inggris|Pendidikan Guru Sekolah Dasar,belum_yakin,Siswa belum memiliki pilihan awal sehingga sistem perlu memberikan guided profiling dan eksplorasi bertahap.,stage10-v2.0
STU-003362,SMK,Desain Komunikasi Visual,Teknologi Pangan,Teknologi Pangan,PRG2-034,0.944,Teknologi Pangan|Biologi|Ilmu Gizi,Teknologi Pangan|Biologi|Ilmu Gizi|Agroteknologi|Agribisnis,selaras,Pilihan awal siswa sangat selaras dengan hasil pemetaan sistem. Tetap perlu validasi dengan guru BK atau konselor.,stage10-v2.0
STU-003363,SMA,Pilihan Campuran Kurikulum Merdeka,Pendidikan Bahasa Inggris,Pendidikan Bahasa Inggris,PRG2-025,1.0,Pendidikan Bahasa Inggris|Pendidikan Guru Sekolah Dasar|Ilmu Komunikasi,Pendidikan Bahasa Inggris|Pendidikan Guru Sekolah Dasar|Ilmu Komunikasi|Psikologi|Pariwisata,selaras,Pilihan awal siswa sangat selaras dengan hasil pemetaan sistem. Tetap perlu validasi dengan guru BK atau konselor.,stage10-v2.0
STU-003364,SMK,Pengembangan Gim,Teknologi Informasi,Keperawatan,PRG2-017,0.829,Keperawatan|Kesehatan Masyarakat|Ilmu Gizi,Keperawatan|Kesehatan Masyarakat|Ilmu Gizi|Teknologi Informasi|Teknik Informatika,sebagian_selaras,"Pilihan awal masih cukup relevan, tetapi siswa perlu membandingkan beberapa alternatif program studi.",stage10-v2.0
STU-003365,SMK,Manajemen Perkantoran dan Layanan Bisnis,Teknologi Pangan,Bisnis Digital,PRG2-005,0.934,Bisnis Digital|Manajemen|Pariwisata,Bisnis Digital|Manajemen|Pariwisata|Sistem Informasi|Teknik Industri,tidak_selaras,"Pilihan awal kurang selaras dengan profil sementara. Sistem sebaiknya memberi bridge plan, bukan menolak pilihan siswa secara mutlak.",stage10-v2.0
STU-003366,SMA,IPS/Soshum,Teknik Sipil,Pendidikan Guru Sekolah Dasar,PRG2-024,0.775,Pendidikan Guru Sekolah Dasar|Pariwisata|Keperawatan,Pendidikan Guru Sekolah Dasar|Pariwisata|Keperawatan|Teknik Sipil|Manajemen,sebagian_selaras,"Pilihan awal masih cukup relevan, tetapi siswa perlu membandingkan beberapa alternatif program studi.",stage10-v2.0
STU-003367,SMK,Teknik Jaringan Komputer dan Telekomunikasi - TKJ,Teknologi Informasi,Teknologi Informasi,PRG2-004,0.945,Teknologi Informasi|Teknik Informatika|Teknik Mesin,Teknologi Informasi|Teknik Informatika|Teknik Mesin|Teknik Elektro|Sistem Informasi,selaras,Pilihan awal siswa sangat selaras dengan hasil pemetaan sistem. Tetap perlu validasi dengan guru BK atau konselor.,stage10-v2.0
STU-003368,SMA,MIPA/IPA,Akuntansi,Akuntansi,PRG2-027,0.961,Akuntansi|Teknik Industri|Sistem Informasi,Akuntansi|Teknik Industri|Sistem Informasi|Matematika|Ekonomi Pembangunan,selaras,Pilihan awal siswa sangat selaras dengan hasil pemetaan sistem. Tetap perlu validasi dengan guru BK atau konselor.,stage10-v2.0
STU-003369,SMK,"Sistem Informasi, Jaringan, dan Aplikasi - SIJA",Pendidikan Guru Sekolah Dasar,Pendidikan Guru Sekolah Dasar,PRG2-024,0.895,Pendidikan Guru Sekolah Dasar|Keperawatan|Kesehatan Masyarakat,Pendidikan Guru Sekolah Dasar|Keperawatan|Kesehatan Masyarakat|Pendidikan Bahasa Inggris|Teknologi Informasi,selaras,Pilihan awal siswa sangat selaras dengan hasil pemetaan sistem. Tetap perlu validasi dengan guru BK atau konselor.,stage10-v2.0
STU-003370,SMA,MIPA/IPA,Teknologi Pangan,Teknologi Pangan,PRG2-034,1.0,Teknologi Pangan|Agroteknologi|Ilmu Gizi,Teknologi Pangan|Agroteknologi|Ilmu Gizi|Biologi|Agribisnis,selaras,Pilihan awal siswa sangat selaras dengan hasil pemetaan sistem. Tetap perlu validasi dengan guru BK atau konselor.,stage10-v2.0
STU-003371,SMK,Teknik Mesin,Statistika,Statistika,PRG2-012,0.805,Statistika|Sains Data|Teknik Mesin,Statistika|Sains Data|Teknik Mesin|Kimia|Biologi,selaras,Pilihan awal siswa sangat selaras dengan hasil pemetaan sistem. Tetap perlu validasi dengan guru BK atau konselor.,stage10-v2.0
STU-003372,SMA,Pilihan Campuran Kurikulum Merdeka,Kimia,Film dan Televisi,PRG2-031,0.815,Film dan Televisi|Desain Komunikasi Visual|Arsitektur,Film dan Televisi|Desain Komunikasi Visual|Arsitektur|Desain Produk|Teknik Sipil,tidak_selaras,"Pilihan awal kurang selaras dengan profil sementara. Sistem sebaiknya memberi bridge plan, bukan menolak pilihan siswa secara mutlak.",stage10-v2.0
STU-003373,SMK,Teknik Jaringan Komputer dan Telekomunikasi - TKJ,Biologi,Teknologi Pangan,PRG2-034,0.829,Teknologi Pangan|Teknologi Informasi|Teknik Informatika,Teknologi Pangan|Teknologi Informasi|Teknik Informatika|Agribisnis|Agroteknologi,tidak_selaras,"Pilihan awal kurang selaras dengan profil sementara. Sistem sebaiknya memberi bridge plan, bukan menolak pilihan siswa secara mutlak.",stage10-v2.0
STU-003374,SMK,Teknik Jaringan Komputer dan Telekomunikasi - TKJ,Teknik Mesin,Teknik Mesin,PRG2-008,0.936,Teknik Mesin|Teknologi Informasi|Teknik Informatika,Teknik Mesin|Teknologi Informasi|Teknik Informatika|Teknik Elektro|Teknik Sipil,selaras,Pilihan awal siswa sangat selaras dengan hasil pemetaan sistem. Tetap perlu validasi dengan guru BK atau konselor.,stage10-v2.0
STU-003375,SMK,Teknik Elektronika,Sains Data,Sains Data,PRG2-003,0.774,Sains Data|Kesehatan Masyarakat|Keperawatan,Sains Data|Kesehatan Masyarakat|Keperawatan|Pendidikan Guru Sekolah Dasar|Statistika,selaras,Pilihan awal siswa sangat selaras dengan hasil pemetaan sistem. Tetap perlu validasi dengan guru BK atau konselor.,stage10-v2.0
STU-003376,SMK,Agribisnis Tanaman/Ternak/Perikanan,Belum yakin,Arsitektur,PRG2-010,0.95,Arsitektur|Desain Produk|Desain Komunikasi Visual,Arsitektur|Desain Produk|Desain Komunikasi Visual|Film dan Televisi|Teknik Sipil,belum_yakin,Siswa belum memiliki pilihan awal sehingga sistem perlu memberikan guided profiling dan eksplorasi bertahap.,stage10-v2.0
STU-003377,SMA,Seni/Kreatif,Bisnis Digital,Bisnis Digital,PRG2-005,0.896,Bisnis Digital|Manajemen|Akuntansi,Bisnis Digital|Manajemen|Akuntansi|Administrasi Publik|Desain Produk,selaras,Pilihan awal siswa sangat selaras dengan hasil pemetaan sistem. Tetap perlu validasi dengan guru BK atau konselor.,stage10-v2.0
STU-003378,SMK,Teknik Elektronika,Teknologi Informasi,Teknologi Informasi,PRG2-004,0.968,Teknologi Informasi|Teknik Elektro|Teknik Mesin,Teknologi Informasi|Teknik Elektro|Teknik Mesin|Teknik Informatika|Agroteknologi,selaras,Pilihan awal siswa sangat selaras dengan hasil pemetaan sistem. Tetap perlu validasi dengan guru BK atau konselor.,stage10-v2.0
STU-003379,SMK,Pemasaran - Bisnis Digital,Pariwisata,Kesehatan Masyarakat,PRG2-018,0.815,Kesehatan Masyarakat|Pariwisata|Psikologi,Kesehatan Masyarakat|Pariwisata|Psikologi|Keperawatan|Pendidikan Guru Sekolah Dasar,cukup_selaras,"Pilihan awal masih cukup relevan, tetapi siswa perlu membandingkan beberapa alternatif program studi.",stage10-v2.0
STU-003380,MA,MIPA/IPA,Administrasi Publik,Administrasi Publik,PRG2-023,0.938,Administrasi Publik|Kesehatan Masyarakat|Psikologi,Administrasi Publik|Kesehatan Masyarakat|Psikologi|Pendidikan Guru Sekolah Dasar|Manajemen,selaras,Pilihan awal siswa sangat selaras dengan hasil pemetaan sistem. Tetap perlu validasi dengan guru BK atau konselor.,stage10-v2.0
STU-003381,SMK,Pengembangan Gim,Teknologi Informasi,Teknik Informatika,PRG2-001,0.895,Teknik Informatika|Teknologi Informasi|Teknik Elektro,Teknik Informatika|Teknologi Informasi|Teknik Elektro|Teknik Mesin|Teknologi Pangan,cukup_selaras,"Pilihan awal masih cukup relevan, tetapi siswa perlu membandingkan beberapa alternatif program studi.",stage10-v2.0
STU-003382,MA,IPS/Soshum,Ilmu Komunikasi,Teknik Industri,PRG2-007,0.79,Teknik Industri|Sistem Informasi|Teknik Mesin,Teknik Industri|Sistem Informasi|Teknik Mesin|Ilmu Hukum|Agribisnis,tidak_selaras,"Pilihan awal kurang selaras dengan profil sementara. Sistem sebaiknya memberi bridge plan, bukan menolak pilihan siswa secara mutlak.",stage10-v2.0
STU-003383,MA,Keagamaan,Psikologi,Psikologi,PRG2-020,0.975,Psikologi|Kesehatan Masyarakat|Administrasi Publik,Psikologi|Kesehatan Masyarakat|Administrasi Publik|Pendidikan Guru Sekolah Dasar|Pendidikan Bahasa Inggris,selaras,Pilihan awal siswa sangat selaras dengan hasil pemetaan sistem. Tetap perlu validasi dengan guru BK atau konselor.,stage10-v2.0
STU-003384,SMK,Manajemen Perkantoran dan Layanan Bisnis,Pendidikan Bahasa Inggris,Pendidikan Bahasa Inggris,PRG2-025,0.975,Pendidikan Bahasa Inggris|Pendidikan Guru Sekolah Dasar|Ilmu Komunikasi,Pendidikan Bahasa Inggris|Pendidikan Guru Sekolah Dasar|Ilmu Komunikasi|Psikologi|Pariwisata,selaras,Pilihan awal siswa sangat selaras dengan hasil pemetaan sistem. Tetap perlu validasi dengan guru BK atau konselor.,stage10-v2.0
STU-003385,SMK,Farmasi Klinis dan Komunitas,Sistem Informasi,Sistem Informasi,PRG2-002,1.0,Sistem Informasi|Teknik Industri|Farmasi,Sistem Informasi|Teknik Industri|Farmasi|Akuntansi|Bisnis Digital,selaras,Pilihan awal siswa sangat selaras dengan hasil pemetaan sistem. Tetap perlu validasi dengan guru BK atau konselor.,stage10-v2.0
STU-003386,MA,IPS/Soshum,Ilmu Komunikasi,Ilmu Komunikasi,PRG2-021,0.975,Ilmu Komunikasi|Ilmu Hukum|Pendidikan Bahasa Inggris,Ilmu Komunikasi|Ilmu Hukum|Pendidikan Bahasa Inggris|Pariwisata|Film dan Televisi,selaras,Pilihan awal siswa sangat selaras dengan hasil pemetaan sistem. Tetap perlu validasi dengan guru BK atau konselor.,stage10-v2.0
STU-003387,SMA,Pilihan Campuran Kurikulum Merdeka,Statistika,Statistika,PRG2-012,0.904,Statistika|Sains Data|Ekonomi Pembangunan,Statistika|Sains Data|Ekonomi Pembangunan|Matematika|Farmasi,selaras,Pilihan awal siswa sangat selaras dengan hasil pemetaan sistem. Tetap perlu validasi dengan guru BK atau konselor.,stage10-v2.0
STU-003388,SMK,Manajemen Perkantoran dan Layanan Bisnis,Kesehatan Masyarakat,Kesehatan Masyarakat,PRG2-018,0.748,Kesehatan Masyarakat|Manajemen|Bisnis Digital,Kesehatan Masyarakat|Manajemen|Bisnis Digital|Teknik Industri|Keperawatan,selaras,Pilihan awal siswa sangat selaras dengan hasil pemetaan sistem. Tetap perlu validasi dengan guru BK atau konselor.,stage10-v2.0
STU-003389,SMK,Layanan Kesehatan,Teknologi Informasi,Teknologi Informasi,PRG2-004,0.95,Teknologi Informasi|Teknik Informatika|Teknik Elektro,Teknologi Informasi|Teknik Informatika|Teknik Elektro|Teknik Mesin|Teknik Sipil,selaras,Pilihan awal siswa sangat selaras dengan hasil pemetaan sistem. Tetap perlu validasi dengan guru BK atau konselor.,stage10-v2.0
STU-003390,SMK,Layanan Kesehatan,Desain Produk,Desain Produk,PRG2-030,0.823,Desain Produk|Film dan Televisi|Desain Komunikasi Visual,Desain Produk|Film dan Televisi|Desain Komunikasi Visual|Ilmu Komunikasi|Arsitektur,selaras,Pilihan awal siswa sangat selaras dengan hasil pemetaan sistem. Tetap perlu validasi dengan guru BK atau konselor.,stage10-v2.0
STU-003391,SMK,Pemasaran - Bisnis Digital,Farmasi,Farmasi,PRG2-016,0.944,Farmasi|Kimia|Pendidikan Dokter,Farmasi|Kimia|Pendidikan Dokter|Matematika|Sains Data,selaras,Pilihan awal siswa sangat selaras dengan hasil pemetaan sistem. Tetap perlu validasi dengan guru BK atau konselor.,stage10-v2.0
STU-003392,MA,MIPA/IPA,Teknik Mesin,Teknik Mesin,PRG2-008,0.883,Teknik Mesin|Teknik Elektro|Teknologi Informasi,Teknik Mesin|Teknik Elektro|Teknologi Informasi|Teknik Informatika|Kimia,selaras,Pilihan awal siswa sangat selaras dengan hasil pemetaan sistem. Tetap perlu validasi dengan guru BK atau konselor.,stage10-v2.0
STU-003393,SMA,MIPA/IPA,Akuntansi,Sains Data,PRG2-003,0.781,Sains Data|Pendidikan Dokter|Akuntansi,Sains Data|Pendidikan Dokter|Akuntansi|Statistika|Kimia,cukup_selaras,"Pilihan awal masih cukup relevan, tetapi siswa perlu membandingkan beberapa alternatif program studi.",stage10-v2.0
STU-003394,SMK,Teknik Jaringan Komputer dan Telekomunikasi - TKJ,Psikologi,Pendidikan Guru Sekolah Dasar,PRG2-024,0.821,Pendidikan Guru Sekolah Dasar|Kesehatan Masyarakat|Keperawatan,Pendidikan Guru Sekolah Dasar|Kesehatan Masyarakat|Keperawatan|Psikologi|Pendidikan Bahasa Inggris,sebagian_selaras,"Pilihan awal masih cukup relevan, tetapi siswa perlu membandingkan beberapa alternatif program studi.",stage10-v2.0
STU-003395,SMA,Seni/Kreatif,Teknik Mesin,Teknik Mesin,PRG2-008,0.905,Teknik Mesin|Teknik Elektro|Teknologi Informasi,Teknik Mesin|Teknik Elektro|Teknologi Informasi|Teknik Informatika|Teknik Sipil,selaras,Pilihan awal siswa sangat selaras dengan hasil pemetaan sistem. Tetap perlu validasi dengan guru BK atau konselor.,stage10-v2.0
STU-003396,MA,MIPA/IPA,Sains Data,Sains Data,PRG2-003,0.85,Sains Data|Statistika|Ekonomi Pembangunan,Sains Data|Statistika|Ekonomi Pembangunan|Matematika|Pendidikan Dokter,selaras,Pilihan awal siswa sangat selaras dengan hasil pemetaan sistem. Tetap perlu validasi dengan guru BK atau konselor.,stage10-v2.0
STU-003397,SMK,Desain Komunikasi Visual,Kesehatan Masyarakat,Teknik Mesin,PRG2-008,0.87,Teknik Mesin|Teknik Elektro|Teknologi Informasi,Teknik Mesin|Teknik Elektro|Teknologi Informasi|Teknik Informatika|Agroteknologi,tidak_selaras,"Pilihan awal kurang selaras dengan profil sementara. Sistem sebaiknya memberi bridge plan, bukan menolak pilihan siswa secara mutlak.",stage10-v2.0
STU-003398,SMK,Farmasi Klinis dan Komunitas,Bisnis Digital,Bisnis Digital,PRG2-005,0.968,Bisnis Digital|Manajemen|Pariwisata,Bisnis Digital|Manajemen|Pariwisata|Sistem Informasi|Teknik Industri,selaras,Pilihan awal siswa sangat selaras dengan hasil pemetaan sistem. Tetap perlu validasi dengan guru BK atau konselor.,stage10-v2.0
